ID,TIME,obs,obsid
1,0,2.85301,yAB
1,7,3.58782,yAB
1,21,3.59088,yAB
1,123,2.49539,yAB
1,180,1.67878,yAB
1,300,0.295011,yAB
1,1,0.245316,yG1
1,2,0.553615,yG1
1,3,0.18243,yG1
1,4,0.394239,yG1
1,5,-0.076052,yG1
1,6,-0.459528,yG1
1,7,-0.0455271,yG1
1,8,0.21334,yG1
1,9,0.731676,yG1
1,10,0.540762,yG1
1,11,-0.234736,yG1
1,12,0.24654,yG1
1,13,0.363848,yG1
1,14,-0.0380412,yG1
1,15,-0.0123656,yG1
1,16,-0.158989,yG1
1,17,-0.161026,yG1
1,18,-0.145786,yG1
1,19,0.0586155,yG1
1,20,0.566539,yG1
1,21,-0.0957371,yG1
1,1,-0.16985,yG2
1,2,0.0368175,yG2
1,3,0.244185,yG2
1,4,-0.0424575,yG2
1,5,-0.186157,yG2
1,6,-0.466453,yG2
1,7,-0.00737202,yG2
1,8,-0.198244,yG2
1,9,-0.0391343,yG2
1,10,-0.208031,yG2
1,11,0.141468,yG2
1,12,0.249703,yG2
1,13,-0.292803,yG2
1,14,0.141317,yG2
1,15,-0.180551,yG2
1,16,0.510083,yG2
1,17,0.637672,yG2
1,18,-0.620479,yG2
1,19,-0.273802,yG2
1,20,-0.0493309,yG2
1,21,-0.140376,yG2
1,1,0.338212,yG3
1,2,0.200576,yG3
1,3,-0.134131,yG3
1,4,-0.501667,yG3
1,5,0.243434,yG3
1,6,0.0862906,yG3
1,7,-0.571982,yG3
1,8,-0.439282,yG3
1,9,0.118168,yG3
1,10,-0.220348,yG3
1,11,-0.0328059,yG3
1,12,0.480394,yG3
1,13,0.370277,yG3
1,14,0.0015697,yG3
1,15,0.164109,yG3
1,16,-0.174409,yG3
1,17,0.199959,yG3
1,18,0.258482,yG3
1,19,0.0667552,yG3
1,20,-0.135569,yG3
1,21,0.189389,yG3
1,1,0.128641,yG4
1,2,-0.0813564,yG4
1,3,0.077264,yG4
1,4,-0.130565,yG4
1,5,0.0520865,yG4
1,6,-0.123261,yG4
1,7,0.272237,yG4
1,8,-0.0455936,yG4
1,9,0.457187,yG4
1,10,0.0330112,yG4
1,11,0.215956,yG4
1,12,-0.0517185,yG4
1,13,-0.102923,yG4
1,14,-0.109878,yG4
1,15,-0.245342,yG4
1,16,0.583289,yG4
1,17,0.699197,yG4
1,18,0.366491,yG4
1,19,0.476146,yG4
1,20,0.364655,yG4
1,21,0.413744,yG4
1,1,0.172502,yG5
1,2,0.167002,yG5
1,3,-0.260776,yG5
1,4,-0.637346,yG5
1,5,-0.43026,yG5
1,6,0.132026,yG5
1,7,-0.349727,yG5
1,8,0.0896702,yG5
1,9,-0.115005,yG5
1,10,0.170134,yG5
1,11,-0.233111,yG5
1,12,-0.190921,yG5
1,13,-0.285953,yG5
1,14,-0.381249,yG5
1,15,0.191644,yG5
1,16,0.151455,yG5
1,17,-0.17692,yG5
1,18,0.352357,yG5
1,19,0.241504,yG5
1,20,-0.191629,yG5
1,21,-0.479772,yG5
2,0,3.23618,yAB
2,7,3.97825,yAB
2,21,3.78555,yAB
2,123,2.45717,yAB
2,180,1.65072,yAB
2,300,0.244702,yAB
2,1,-0.10495,yG1
2,2,0.649441,yG1
2,3,0.248714,yG1
2,4,0.257453,yG1
2,5,0.269852,yG1
2,6,0.299541,yG1
2,7,0.295271,yG1
2,8,-0.305311,yG1
2,9,-0.307801,yG1
2,10,0.104281,yG1
2,11,0.640303,yG1
2,12,0.0377254,yG1
2,13,0.188694,yG1
2,14,0.352584,yG1
2,15,-0.190197,yG1
2,16,-0.511554,yG1
2,17,0.190147,yG1
2,18,-0.16178,yG1
2,19,-0.0249326,yG1
2,20,0.344283,yG1
2,21,-0.220738,yG1
2,1,-0.154936,yG2
2,2,-0.0082355,yG2
2,3,-0.629667,yG2
2,4,0.277093,yG2
2,5,0.317904,yG2
2,6,0.317195,yG2
2,7,-0.132253,yG2
2,8,-0.373894,yG2
2,9,0.672443,yG2
2,10,0.0705296,yG2
2,11,-0.509705,yG2
2,12,0.677016,yG2
2,13,-0.480219,yG2
2,14,-0.514219,yG2
2,15,0.336975,yG2
2,16,0.0533178,yG2
2,17,0.0772362,yG2
2,18,0.765913,yG2
2,19,0.325001,yG2
2,20,-0.288152,yG2
2,21,0.0506313,yG2
2,1,0.090671,yG3
2,2,0.240545,yG3
2,3,0.323449,yG3
2,4,0.00135943,yG3
2,5,0.42865,yG3
2,6,0.973832,yG3
2,7,-0.149267,yG3
2,8,-0.7073,yG3
2,9,0.106532,yG3
2,10,-0.0450138,yG3
2,11,0.177283,yG3
2,12,0.402112,yG3
2,13,0.142043,yG3
2,14,-0.0759682,yG3
2,15,0.504463,yG3
2,16,0.108223,yG3
2,17,0.000366205,yG3
2,18,-0.449569,yG3
2,19,0.188705,yG3
2,20,-0.180137,yG3
2,21,-0.0873753,yG3
2,1,-0.205436,yG4
2,2,-0.107976,yG4
2,3,-0.48859,yG4
2,4,0.575601,yG4
2,5,0.687058,yG4
2,6,-0.301921,yG4
2,7,0.39319,yG4
2,8,-0.481133,yG4
2,9,0.203425,yG4
2,10,-0.250759,yG4
2,11,0.667045,yG4
2,12,-0.212337,yG4
2,13,0.00797086,yG4
2,14,-0.250686,yG4
2,15,-0.0476343,yG4
2,16,0.112814,yG4
2,17,0.143541,yG4
2,18,0.292043,yG4
2,19,-0.331571,yG4
